cliente,edad,flag_visita_unica,indicador_frecuencia_find_semana,indicador_frecuencia_semana,indicador_genero_mas_visto,incidencia_personal_dulceria,Numero_entradas_compradas_moda,TP_boleteria,indicador_nro_visitas_mes,indicador_estreno,indicador_promocion_especiales,indicador_promocion_nino,indicador_upselling_combo,canal_venta_preferido,indicador_cliente_prime,indicador_cliente_xtreme,total_dulceria,total_boleteria,canti_visitas_periodo,tp_cliente_dulceria,PROMEDIO_ENTRADAS_COMPRADAS,Nro_entradas_totales_comprada,TP_dul_por_entrada
2777,33,0,0.6,0.4,Drama,0.4,2,16.0625,0,0.8,0.6667,0.2,0,Complejos,0,0,75,128.5,5,25,1.5,12,6.25
2778,30,0,0.3846,0.6154,Dibujo animado,0.85,2,20.36,1,0.5385,0,0.0769,0.2308,Tienda Web,0,0,367.5,407.2,13,28.2692,1.8,36,10.21
2779,24,1,0,1,Aventura,0,2,16,0,0,0,0,0,Complejos,0,0,0,16,1,0,2,2,0
2780,23,0,0.5,0.5,Familiar,0.67,2,19.7857,0,0.5,0.5385,0,0.25,Complejos,0,0,81.5,138.5,6,20.375,1.8571,13,6.27
2781,26,1,1,0,Accion,0,2,24,0,1,1,0,1,Complejos,0,0,28.5,24,1,28.5,2,2,14.25
2782,41,0,0.6,0.4,Accion,0,2,19,0,0.8,0.4167,0.2,1,Complejos,0,0,22.5,133,5,22.5,1.7143,12,1.88
2783,27,0,0.8333,0.1667,Comedia,0.83,3,22,0,0.3333,0,0.1667,0.2,Tienda Web,0,0,138.5,220,6,27.7,1.6,16,8.66
2784,34,1,0,1,Animacion,1,4,34,0,0,1,0,0,Complejos,0,0,36.5,34,1,36.5,4,4,9.13
2785,59,0,0.3333,0.6667,Drama,0.08,1,29.9667,0,0.4615,0.3077,0.0833,1,Complejos,0,0,41.5,449.5,12,41.5,1.7333,26,1.6
2786,43,1,0,1,Accion,0,4,34,0,1,1,0,0,Complejos,0,0,0,34,1,0,4,4,0
2787,35,0,0,1,Animacion,0.67,3,13.5,1,0.3333,0.5556,0.3333,0.3333,Complejos,0,0,203,81,3,33.8333,1.5,9,22.56
2788,29,0,0,1,Accion,0.6,2,28.5,1,0.4,0.5,0,0.6667,Complejos,0,0.1667,85.5,171,5,28.5,3,18,4.75
2789,68,1,0,1,Thriller,0,1,12.5,0,0,0,0,0,Complejos,0,0,0,12.5,1,0,1,1,0
2790,35,0,0.5,0.5,Dibujo animado,0,2,186.6667,0,0,0,0.5,0,Tienda Web,0,0,0,560,2,0,8.3333,25,0
2791,40,0,0,1,Ciencia Ficcion,1,5,21.625,1,0.75,0.8235,0.25,0.25,Complejos,0,0,135.5,173,4,33.875,2.125,17,7.97
2792,57,0,0.8627,0.1373,Ciencia Ficcion,0.84,2,47.2813,0,0.7193,0.3017,0,0.9773,Complejos,0.3906,0.0156,1646.5,3026,51,37.4205,1.8125,116,14.19
2793,32,0,0.2895,0.7105,Ciencia Ficcion,0.92,1,6.0769,0,0.6216,0.5,0,0.1714,Complejos,0,0,521,237,38,14.8857,1.2821,50,10.42
2794,39,0,0.3333,0.6667,Accion,0.33,2,21.7778,1,0.2727,0,0.0833,0.25,Tienda Web,0,0,94,392,12,23.5,1.7222,31,3.03
2795,17,1,0,1,Dibujo animado,0,5,19.75,0,0,0.4,1,0,Complejos,0,0,0,39.5,1,0,2.5,5,0
2796,21,0,0.3478,0.6522,Ciencia Ficcion,0.65,1,15.5556,0,0.5455,0.2075,0.0435,0.1852,Tienda Web,0,0,403,420,23,14.9259,1.963,53,7.6
2797,27,0,0,1,Ciencia Ficcion,1,1,13.1667,0,0,0.25,0,0.5,Complejos,0,0,104,39.5,2,52,1.3333,4,26
2798,21,1,0,1,Drama,1,2,28,0,1,1,0,0,Complejos,0,0,21,28,1,21,2,2,10.5
2799,22,0,0,1,Terror,0.75,1,10.5,0,0.75,0.1667,0,1,Complejos,0,0,125.5,42,4,20.9167,1.5,6,20.92
2800,31,0,0.3333,0.6667,Accion,0.5,2,12.2857,1,0.5,0,0,0,Tienda Web,0,0,74.5,86,6,24.8333,1.7143,12,6.21
2801,34,0,0,1,Ciencia Ficcion,0.67,2,21,0,0.3333,0.4,0,0.3333,Complejos,0,0,68.5,63,3,22.8333,1.6667,5,13.7
2802,29,0,0.0556,0.9444,Accion,0.72,2,26.3182,0,0.3889,0.2545,0.0556,0.6429,Complejos,0,0.0455,349,579,18,24.9286,2.5,55,6.35
2803,37,1,1,0,Dibujo animado,1,7,28,0,0,0,0,1,Complejos,0,0,7,28,1,7,7,7,1
2804,29,0,0,1,Familiar,0.67,2,52.3333,0,0.6667,1,0,0.3333,Complejos,0,0,157,157,3,52.3333,4,12,13.08
2805,50,1,0,1,Drama,0,2,24,0,1,1,0,0,Complejos,0,0,0,24,1,0,2,2,0
2806,47,1,1,0,Comedia,1,4,39.75,0,0,0.75,1,0.5,Complejos,0,0,73.5,79.5,1,36.75,2,4,18.38
2807,27,0,0.25,0.75,Comedia,0,2,12.075,0,0,0.5,0,0,Complejos,0,0,0,48.3,4,0,2,8,0
2808,31,0,0.4,0.6,Accion,0.2,2,44.8333,0,0.2,0.9286,0.2,0,Complejos,0,0,31.5,269,5,31.5,2.3333,14,2.25
2809,26,1,0,1,Aventura,0,3,24,0,1,0,0,0,Complejos,0,0,32,24,1,32,3,3,10.67
2810,18,0,0.3333,0.6667,Musical,0,2,13.625,0,0,0.7143,0,0,Complejos,0,0,0,54.5,3,0,1.75,7,0
2811,30,0,0.4,0.6,Comedia,0.8,4,25.1111,0,0.4,0.5263,0.2,0.25,Complejos,0,0.2222,193.5,226,5,48.375,2.1111,19,10.18
2812,39,1,0,1,Animacion,0,4,39,1,0,0.5,1,0,Complejos,0,0,16.5,78,1,16.5,2,4,4.13
2813,30,0,0,1,Terror,0.38,1,11.8,0,0.5385,0.3,0,0,Complejos,0,0,161,177,13,26.8333,1.3333,20,8.05
2814,33,0,0,1,Accion,0.33,2,15.3333,0,0.3333,0,0,0,Complejos,0,0,18,46,3,18,2,6,3
2815,20,0,0.4,0.6,Ciencia Ficcion,0.4,2,13.0625,0,0.4,0.4545,0,0,Complejos,0,0,55.5,104.5,5,18.5,1.375,11,5.05
2816,28,0,1,0,Familiar,1,3,35.25,0,0.5,0.4286,0,1,Complejos,0,0,73,70.5,2,36.5,3.5,7,10.43
2817,25,1,0,1,Comedia,0,3,25.5,0,1,0,0,0,Complejos,0,0,0,25.5,1,0,3,3,0
2818,28,1,0,1,Terror,1,2,9,0,1,0,0,1,Complejos,0,0,4.5,9,1,4.5,2,2,2.25
2819,44,1,1,0,Ciencia Ficcion,0,2,52,0,0,1,0,0,Complejos,0,0,0,52,1,0,2,2,0
2820,32,0,0,1,Ciencia Ficcion,0.38,2,18.7333,0,0.6154,0.6207,0.0769,0.4286,Complejos,0,0,159.5,281,13,22.7857,1.9333,29,5.5
2821,25,1,0,1,Terror,1,2,30,0,1,1,0,1,Complejos,0,0,28.5,30,1,28.5,2,2,14.25
2822,35,1,0,1,Ciencia Ficcion,1,1,17.5,0,0,1,0,1,Complejos,0,0,7.5,17.5,1,7.5,1,1,7.5
2823,38,0,0,1,Accion,0.67,5,80.6667,0,1,0,0,1,Tienda Web,0,0,33,242,3,16.5,3.6667,11,3
2824,31,0,0,1,Comedia,0.5,2,14.75,1,0.5,0.25,0.5,1,Complejos,0,0,21,59,2,21,1,4,5.25
2825,23,0,0.1,0.9,Accion,0.33,2,16.5238,3,0.2727,0.1746,0,0.8,Complejos,0,0,156.5,694,30,15.65,1.5,63,2.48
2826,22,0,0.25,0.75,Ciencia Ficcion,0.25,3,21.125,1,1,0.7692,0,1,Complejos,0,0,51,84.5,4,51,3.25,13,3.92
2827,43,0,0.5,0.5,Dibujo animado,0.5,4,50.3462,0,0.25,0.1333,0.125,0.8571,Tienda Web,0.0769,0,231.5,654.5,8,33.0714,2.3077,30,7.72
2828,21,0,0,1,Accion,0.5,2,37.5,0,0.5,0,0,0,Complejos,0,0,97,75,2,9.7,4,8,12.13
2829,18,1,1,0,Terror,1,3,54,0,0,1,0,0.5,Complejos,0,0,68,54,1,34,3,3,22.67
2830,36,1,0,1,Dibujo animado,0,1,11,0,1,1,0,0,Complejos,0,0,0,11,1,0,1,1,0
2831,12,0,0,1,Dibujo animado,0.75,3,17.1429,0,0,0.7333,0,0,Complejos,0,0,145,120,4,36.25,2.1429,15,9.67
2832,45,0,1,0,Dibujo animado,1,3,65.6667,0,0,0.3333,0.5,0.3333,Complejos,0.3333,0,116.5,197,2,38.8333,2,6,19.42
2833,39,0,0,1,Terror,1,4,27.1222,0,0.5,0.2581,0,0.3636,Complejos,0,0,417,244.1,8,37.9091,3.4444,31,13.45
2834,35,1,0,1,Familiar,1,3,34,0,1,0.6667,1,0,Complejos,0,0,27,68,1,27,1.5,3,9
2835,34,0,0,1,Animacion,0.67,2,11.25,0,0.6667,0.4286,0.3333,1,Complejos,0,0,33.5,45,3,16.75,1.75,7,4.79
2836,36,0,0.8571,0.1429,Dibujo animado,0.57,2,29.7143,1,0.5714,0.1429,0,0.5,Tienda Web,0,0,163,208,7,27.1667,2,14,11.64
2837,39,1,1,0,Ciencia Ficcion,0,2,90,0,1,0,0,0,Tienda Web,1,0,0,90,1,0,2,2,0
2838,24,1,1,0,Familiar,1,2,34,0,0,1,0,0,Complejos,0,0,32,34,1,32,2,2,16
2839,44,1,1,0,Animacion,0,3,60,0,0,0,1,0,Complejos,0,0,0,60,1,0,3,3,0
2840,44,0,0.3333,0.6667,Accion,0.5,2,25.125,1,0.5,0.3571,0,0.6667,Complejos,0,0.125,103,201,6,34.3333,1.75,14,7.36
2841,24,1,1,0,Accion,0,2,34,0,1,0,0,0,Complejos,0,0,0,34,1,0,2,2,0
2842,17,0,0.4667,0.5333,Dibujo animado,0.47,2,12.125,0,0.4286,0.4375,0.0667,0.2857,Complejos,0,0,173.5,242.5,15,24.7857,1.6,32,5.42
2843,22,1,0,1,Terror,1,4,42,1,1,1,0,1,Complejos,0,0,57,42,1,57,4,4,14.25
2844,28,0,0.5,0.5,Familiar,0.4,2,11.0286,2,0.3,0.0435,0,0.2,Tienda Web,0,0,125.5,154.4,10,25.1,1.6429,23,5.46
2845,22,0,0.2093,0.7907,Ciencia Ficcion,0.3,2,19.3616,0,0.7674,0.0273,0.0233,0.3846,Tienda Web,0.0357,0,330,1084.25,43,25.3846,1.9643,110,3
2846,49,0,0.6667,0.3333,Aventura,1,5,43.6667,1,0.3333,0,0.3333,0.5,Tienda Web,0,0,249.5,262,3,62.375,2,12,20.79
2847,27,0,0.6667,0.3333,Comedia,0.67,2,41.5,0,0,0,0,1,Complejos,0.5,0,143,166,3,47.6667,1.5,6,23.83
2848,49,0,0,1,Accion,1,2,19.2,0,1,0.4118,0.25,0,Complejos,0,0,153.5,96,4,38.375,3.4,17,9.03
2849,32,0,0.2,0.8,Terror,0.5,2,19.7833,1,0.6,0.25,0,0.2,Tienda Web,0,0,142,237.4,10,28.4,1.6667,20,7.1
2850,24,0,1,0,Accion,1,2,27.25,0,0.5,0.5,0,0.5,Complejos,0,0,71,54.5,2,35.5,2,4,17.75
2851,25,0,0.25,0.75,Accion,0.25,2,8.875,0,0,0.4286,0,0,Complejos,0,0,22,35.5,4,22,1.75,7,3.14
2852,67,0,1,0,Drama,0,3,25.25,0,0,0.4,0,0,Complejos,0,0,0,101,2,0,1.25,5,0
2853,20,0,0,1,Accion,0.5,2,31,0,0.6667,0.7143,0,0.2,Complejos,0,0,180.5,186,6,36.1,2.3333,14,12.89
2854,26,0,0.5,0.5,Terror,0.5,3,14,0,1,0.5,0,0,Complejos,0,0,36,42,2,18,2,6,6
2855,35,0,0.3333,0.6667,Terror,0.67,2,25.6667,0,0.6667,0,0,0.5,Tienda Web,0,0,182,77,3,30.3333,2,6,30.33
2856,32,1,0,1,Drama,0,2,11,0,0,0,0,0,Complejos,0,0,0,11,1,0,2,2,0
2857,53,0,0.5,0.5,Musical,0.5,4,28.5,0,0,0,0,1,Complejos,0,0,10,57,2,10,3,6,1.67
2858,43,1,1,0,Ciencia Ficcion,0,2,14,0,0,0,0,0,Complejos,0,0,0,14,1,0,2,2,0
2859,25,1,0,1,Aventura,1,2,42,0,1,1,0,1,Complejos,0,0,38,42,1,38,2,2,19
2860,46,0,0.2969,0.7031,Accion,0.78,5,28.51,0,0.5,0.0244,0.0156,0.6923,Tienda Web,0,0.12,4087,2138.25,64,78.5962,3.28,246,16.61
2861,42,0,0,1,Accion,0.4,2,28,0,0.6,1,0,0,Complejos,0,0,33,140,5,16.5,2.2,11,3
2862,26,0,0.8571,0.1429,Ciencia Ficcion,0.5,2,40.5313,0,0.375,0.8649,0,0.4286,Complejos,0,0,205.5,648.5,14,29.3571,2.3125,37,5.55
2863,48,0,0.8421,0.1579,Accion,0,2,30.9,0,0.6316,0,0,0,Tienda Web,0,0,0,618,19,0,1.9,38,0
2864,35,0,0,1,Aventura,0.5,2,12.8333,0,0.5,0.75,0,1,Complejos,0,0,28.5,38.5,2,28.5,1.3333,4,7.13
2865,30,0,0.75,0.25,Accion,0.75,2,19.25,1,0.75,0.6,0,0,Complejos,0,0,69,77,4,23,2.5,10,6.9
2866,26,0,0.25,0.75,Accion,0.25,2,16.3,0,0.25,0.5714,0,0.75,Complejos,0,0,108.5,81.5,4,27.125,1.4,7,15.5
2867,30,0,0,1,Familiar,0.67,2,15.5,1,1,0.2222,0,0.5,Complejos,0,0,55,46.5,3,27.5,3,9,6.11
2868,61,0,0,1,Comedia,1,4,38,0,0.3333,0.6364,0,0.75,Complejos,0,0,62,152,3,15.5,2.75,11,5.64
2869,31,0,0.4118,0.5882,Ciencia Ficcion,0.88,2,35.8864,2,0.6471,0,0.0588,0.1765,Tienda Web,0,0,574.5,789.5,17,33.7941,2.0909,46,12.49
2870,34,0,0.75,0.25,Dibujo animado,1,4,18,0,0.2,0.5,0.25,0.75,Complejos,0,0,116,180,4,29,1.6,16,7.25
2871,26,1,0,1,Ciencia Ficcion,0,2,30,1,1,0,0,0,Tienda Web,0,0,0,30,1,0,2,2,0
2872,22,0,0.25,0.75,Terror,1,2,12.7143,0,0.5833,0.6667,0,0.3846,Complejos,0,0,301,178,12,23.1538,1.7143,24,12.54
2873,49,0,0,1,Ciencia Ficcion,0,4,21.3333,1,1,0.6,0.5,0,Complejos,0,0,0,64,2,0,1.6667,5,0
2874,25,0,0.5946,0.4054,Comedia,0.95,2,22.0114,0,0.5714,0.023,0.027,0.4474,Tienda Web,0,0,1079.5,968.5,37,28.4079,1.9773,87,12.41
2875,32,1,0,1,Dibujo animado,0,4,16,0,0,0.5,1,0,Complejos,0,0,0,32,1,0,2,4,0
2876,34,0,0.3333,0.6667,Animacion,0,2,15.1333,0,0,0.75,0.3333,0,Tienda Web,0,0,0,90.8,3,0,1.3333,8,0
2877,28,1,0,1,Terror,1,3,39,0,1,0,0,0,Complejos,0,0,30,39,1,30,3,3,10
2878,26,0,0.4,0.6,Ciencia Ficcion,0.45,2,28.8958,0,0.6316,0.0339,0.05,0.5,Tienda Web,0,0,365,693.5,20,30.4167,2.4583,59,6.19
2879,40,0,0,1,Comedia,0.67,3,19.375,2,0.2222,0.5926,0,0.8333,Complejos,0,0,221,232.5,9,36.8333,2.25,27,8.19
2880,28,1,1,0,Ciencia Ficcion,0,1,15.5,0,1,1,0,0,Complejos,0,0,0,15.5,1,0,1,1,0
2881,31,0,0.5,0.5,Drama,0.33,2,26.4375,0,0.5,0.8333,0.1667,1,Complejos,0,0,31,211.5,6,15.5,2.25,18,1.72
2882,30,0,0.1111,0.8889,Accion,0.89,2,61.7778,0,0.6667,0,0,0.8,Tienda Web,0.8889,0,286,556,9,28.6,2.3333,21,13.62
2883,26,0,0.2593,0.7407,Accion,0.69,2,23.5813,0,0.5,0.2715,0,0.2857,Complejos,0,0,1180.5,1886.5,54,24.0918,1.8875,151,7.82
2884,27,0,0.12,0.88,Accion,0.16,2,12.2703,0,0.1667,0.0635,0,1,Tienda Web,0,0,85.5,454,25,21.375,1.7027,63,1.36
2885,31,0,0.5,0.5,Accion,0.25,2,26.25,0,0.5,0.5556,0.25,0,Complejos,0,0.1667,35,157.5,4,35,1.5,9,3.89
2886,38,1,0,1,Dibujo animado,1,4,32,0,0,1,0,0.5,Complejos,0,0,84.5,32,1,42.25,4,4,21.13
2887,25,1,1,0,Terror,1,2,17,0,1,1,0,1,Complejos,0,0,3.5,17,1,3.5,2,2,1.75
2888,25,1,0,1,Ciencia Ficcion,0,8,40,0,1,0,1,0,Tienda Web,0,0,0,80,1,0,4,8,0
2889,32,0,0.3333,0.6667,Terror,0.67,2,52.5,0,1,0.5833,0,0.5,Complejos,0,0,85.5,157.5,3,42.75,4,12,7.13
2890,53,0,0.1613,0.8387,Comedia,0.26,3,20.2439,0,0.4545,0.0227,0,0.4444,Tienda Web,0,0,139,830,31,15.4444,2.1463,88,1.58
2891,41,0,0.1111,0.8889,Dibujo animado,0.78,2,18.5357,0,0.6667,0.5417,0.1111,0.4286,Complejos,0,0,195,259.5,9,27.8571,1.7143,24,8.13
2892,24,0,0.0909,0.9091,Comedia,0.36,2,31.6818,0,0.4545,0.0417,0,0.4286,Tienda Web,0,0,290.5,348.5,11,41.5,2.1818,24,12.1
2893,24,0,0.4444,0.5556,Ciencia Ficcion,0.78,2,24.9,0,0.4444,0.6842,0,0.625,Complejos,0,0,199,249,9,24.875,1.9,19,10.47
2894,49,0,0.2419,0.7581,Terror,0.48,1,7.557,0,0.541,0.2817,0,0.4444,Tienda Web,0,0,719,483.65,62,19.9722,1.1094,71,10.13
2895,27,0,0.3333,0.6667,Ciencia Ficcion,1,7,38.8333,0,0.3333,0.9091,0,1,Complejos,0,0,162,116.5,3,32.4,3.6667,11,14.73
2896,32,1,0,1,Accion,0,8,72.5,0,1,0,1,0,Complejos,0,0,0,145,1,0,4,8,0
2897,37,1,1,0,Accion,0,4,56,0,1,1,0,0,Complejos,0,0,0,56,1,0,4,4,0
2898,40,1,1,0,Familiar,1,6,27,0,0,0.5,1,0,Complejos,0,0,58,81,1,58,2,6,9.67
2899,36,0,1,0,Accion,0.5,3,15.875,0,0.5,0.6667,0.5,0,Complejos,0,0,29,63.5,2,29,1.5,6,4.83
2900,23,0,0,1,Ciencia Ficcion,0.5,4,8.12,0,0,0.6667,0,0,Complejos,0,0,55,40.6,2,27.5,1.2,6,9.17
2901,32,0,0.1667,0.8333,Dibujo animado,0.67,3,18.55,0,0,0.2632,0.1667,0.25,Complejos,0,0,102.5,185.5,6,25.625,1.9,19,5.39
2902,30,0,1,0,Dibujo animado,0.5,3,23,0,1,0.625,0.5,1,Complejos,0,0,66,115,2,33,1.6,8,8.25
2903,28,0,0.5714,0.4286,Familiar,0.29,2,20.25,0,0.4286,0.5294,0.1429,1,Complejos,0,0,55,202.5,7,27.5,1.7,17,3.24
2904,38,0,0.2,0.8,Comedia,0.35,2,19.7292,0,0.45,0.6042,0.05,0.8571,Complejos,0,0,156,473.5,20,22.2857,2,48,3.25
2905,34,0,0.6667,0.3333,Accion,1,3,26.5,1,0,0.3333,0.3333,0.75,Complejos,0,0,127.5,159,3,31.875,2,12,10.63
2906,34,0,0.5,0.5,Dibujo animado,0.5,5,29.6667,0,1,0.7143,0.5,0,Complejos,0,0,31.5,89,2,31.5,2.3333,7,4.5
2907,27,1,0,1,Accion,0,2,19,0,0,0,0,1,Complejos,0,0,37,19,1,37,2,2,18.5
2908,40,0,0.125,0.875,Dibujo animado,0.38,4,18.1667,0,0.5,0.4688,0.125,0.6667,Complejos,0,0,72,218,8,24,2.6667,32,2.25
2909,32,0,0.1364,0.8636,Ciencia Ficcion,0.5,2,13.42,0,0.6818,0.4,0.0455,0.6667,Complejos,0,0.04,200,335.5,22,16.6667,1.8,45,4.44
2910,28,1,1,0,Drama,1,2,22,0,0,0,0,0,Tienda Web,0,0,45,22,1,45,2,2,22.5
2911,54,0,0.75,0.25,Drama,0.25,1,36.75,0,0.25,0.6667,0,0.6667,Complejos,0,0,63.5,147,4,21.1667,1.5,6,10.58
2912,42,1,0,1,Ciencia Ficcion,1,1,14,0,1,1,0,1,Complejos,0,0,9.5,14,1,9.5,1,1,9.5
2913,36,0,0.4,0.6,Ciencia Ficcion,0.6,2,38,1,0.6,0,0,1,Tienda Web,0,0,74,190,5,18.5,2.6,13,5.69
2914,14,0,0,1,Musical,0.5,6,42,0,1,0.75,0,1,Complejos,0,0,28,126,2,28,2.6667,8,3.5
2915,23,0,0.1852,0.8148,Comedia,0.85,2,17.9091,0,0.4444,0.3279,0,0.6087,Complejos,0,0,663.5,591,27,28.8478,1.8485,61,10.88
2916,26,0,0.1,0.9,Terror,0.72,2,19.0952,0,0.7,0.2844,0.02,0.5238,Complejos,0,0,1271,1203,50,30.2619,1.7302,109,11.66
2917,26,0,0.3617,0.6383,Ciencia Ficcion,0.34,2,34.3617,0,0.7,0.1837,0.0213,0.5,Tienda Web,0,0,731,1615,47,30.4583,2.0851,98,7.46
2918,41,1,0,1,Ciencia Ficcion,0,2,26,0,1,0,0,0,Complejos,0,0,0,26,1,0,2,2,0
2919,21,0,0,1,Accion,0.36,3,13.75,0,0.4545,0.2564,0,0.75,Complejos,0,0,54,165,11,13.5,3.25,39,1.38
2920,23,0,0,1,Dibujo animado,1,4,19.3333,0,0,0,0,0.6667,Complejos,0,0,70,58,2,23.3333,2.3333,7,10
2921,28,0,0,1,Drama,0,2,15.9,0,0.25,0.6667,0,0,Complejos,0,0,0,79.5,4,0,1.8,9,0
2922,44,0,0.2941,0.7059,Ciencia Ficcion,0.41,2,19.575,1,0.4118,0.3824,0,0.8889,Complejos,0,0,134.5,391.5,17,14.9444,1.7,34,3.96
2923,43,0,0.6667,0.3333,Ciencia Ficcion,0.67,3,20,0,1,0.3636,0.3333,0.6667,Complejos,0,0,89,100,3,29.6667,2.2,11,8.09
2924,41,0,0,1,Musical,0.75,3,26.25,0,0.5,0.3571,0.25,1,Complejos,0,0,115.5,157.5,4,38.5,2.3333,14,8.25
2925,23,0,1,0,Drama,0,2,32,0,0.5,1,0,0,Complejos,0,0,0,64,2,0,2,4,0
2926,53,0,0.6667,0.3333,Ciencia Ficcion,0.67,3,21.7,0,0.6667,0.125,0.3333,0,Complejos,0,0,50.5,108.5,3,25.25,1.6,8,6.31
2927,31,0,0.3333,0.6667,Ciencia Ficcion,0.33,2,24.2,0,0.5,0.1333,0.1667,0.5,Tienda Web,0,0,64.5,242,6,32.25,1.5,15,4.3
2928,36,0,0.4,0.6,Dibujo animado,1,5,26.6667,0,0.4,0.48,0.2,0.6,Complejos,0,0,179,240,5,35.8,2.7778,25,7.16
2929,61,0,0.25,0.75,Drama,0,4,21.7,0,0,0.0714,0,0,Complejos,0,0,0,108.5,4,0,2.8,14,0
2930,29,1,0,1,Dibujo animado,1,2,11,0,0,0.5,1,1,Complejos,0,0,51.5,22,1,51.5,1,2,25.75
2931,37,0,0.3571,0.6429,Dibujo animado,0.29,2,14.9688,0,0.5,0.1212,0.0714,0,Tienda Web,0,0,79.5,359.25,14,19.875,1.375,33,2.41
2932,54,1,1,0,Animacion,1,3,15.25,0,1,0.6667,1,0,Complejos,0,0,27,30.5,1,27,1.5,3,9
2933,37,0,0.1053,0.8947,Ciencia Ficcion,0.74,2,15.4,0,0.6842,0.1053,0.0526,0.2143,Tienda Web,0,0,324,308,19,23.1429,1.9,38,8.53
2934,31,1,0,1,Drama,1,2,31,0,0,1,0,1,Complejos,0,0,33,31,1,33,2,2,16.5
2935,43,0,0.5714,0.4286,Dibujo animado,0.71,2,17.18,0,0,0.1935,0.1429,0.8,Complejos,0,0,94,343.6,7,18.8,1.55,31,3.03
2936,23,1,0,1,Aventura,1,2,13,0,0,0,0,0,Complejos,0,0,47.5,13,1,23.75,2,2,23.75
2937,23,0,0.2,0.8,Terror,0.6,2,14.5,0,0.8,0.3636,0,0.8,Complejos,0,0,178,72.5,5,35.6,2.2,11,16.18
2938,38,0,0.3333,0.6667,Accion,0.67,2,26.75,0,0.3333,0.5,0,0,Complejos,0,0,61.5,107,3,30.75,2,8,7.69
2939,26,1,0,1,Musical,0,2,18,0,1,1,0,0,Complejos,0,0,0,18,1,0,2,2,0
2940,28,0,0.3333,0.6667,Ciencia Ficcion,0,2,60.3333,0,1,1,0,0,Complejos,0,0,0,181,3,0,2.3333,7,0
2941,40,0,0.6667,0.3333,Accion,0,2,20.4,0,0,0.3333,0.3333,0,Complejos,0,0,0,102,3,0,1.2,6,0
2942,26,0,0,1,Ciencia Ficcion,0.8,4,34.8333,3,0.8,0.5789,0.2,0.4,Complejos,0,0.1667,221,209,5,44.2,3.1667,19,11.63
2943,23,0,0,1,Ciencia Ficcion,0.15,3,17.8,0,0.4615,0.3488,0,0,Complejos,0,0,32,267,13,16,2.8667,43,0.74
2944,24,1,0,1,Musical,1,1,6.5,0,0,1,0,1,Complejos,0,0,29,6.5,1,29,1,1,29
2945,62,0,0.4571,0.5429,Comedia,0.26,2,17.986,1,0.2727,0.0233,0.0286,0.25,Tienda Web,0,0,93.5,1025.2,35,11.6875,1.5088,86,1.09
2946,38,0,0.5,0.5,Comedia,1,2,20.5,0,0,0,0,0.7143,Complejos,0,0,173,41,2,24.7143,2,4,43.25
2947,25,0,1,0,Ciencia Ficcion,0.5,2,33,0,1,0.5,0,1,Complejos,0,0.5,37,66,2,37,2,4,9.25
2948,28,0,0.5,0.5,Dibujo animado,0,2,14.3333,0,0,0.25,0.5,0,Complejos,0,0,0,43,2,0,1.3333,4,0
2949,27,0,0.1429,0.8571,Terror,0.93,2,22.2667,1,0.5714,0.6786,0.0714,0.2308,Complejos,0,0,377.5,334,14,29.0385,1.8667,28,13.48
2950,33,0,0.1538,0.8462,Dibujo animado,0.85,2,18.7667,0,0.6154,0.5926,0,0.0769,Complejos,0,0,333.5,281.5,13,25.6538,1.8,27,12.35
2951,46,1,0,1,Animacion,0,1,10.5,0,1,0,0,0,Complejos,0,0,0,10.5,1,0,1,1,0
2952,23,0,0,1,Comedia,0,1,11.25,0,0.5,0.6667,0,0,Complejos,0,0,0,22.5,2,0,1.5,3,0
2953,39,0,0,1,Dibujo animado,0.5,4,48.6667,0,1,0,0.5,0,Tienda Web,0,0,30,146,2,30,3,9,3.33
2954,35,0,1,0,Animacion,1,4,22.5,1,0,0.2857,0.5,0,Complejos,0,0,57,90,2,28.5,1.75,7,8.14
2955,40,0,0.2778,0.7222,Dibujo animado,0.72,3,22.1324,0,0.4,0.0182,0.0556,0.1333,Tienda Web,0,0,464.5,752.5,18,30.9667,1.6176,55,8.45
2956,45,1,1,0,Terror,0,2,26,0,0,1,0,0,Complejos,0,0,0,26,1,0,2,2,0
2957,41,1,0,1,Accion,1,3,25.5,0,1,1,0,1,Complejos,0,0,39.5,25.5,1,39.5,3,3,13.17
2958,30,1,0,1,Familiar,1,2,16,0,0,1,0,0,Complejos,0,0,22,16,1,22,2,2,11
2959,53,1,1,0,Thriller,0,4,24,0,0,0,0,0,Complejos,0,0,25,24,1,25,4,4,6.25
2960,37,1,0,1,Dibujo animado,1,2,14,0,1,0,0,1,Complejos,0,0,18,14,1,18,2,2,9
2961,35,0,0.4167,0.5833,Dibujo animado,0.67,3,27.1667,0,0.6667,0.5714,0.0833,0.7778,Complejos,0,0,365,570.5,12,40.5556,2,42,8.69
2962,21,0,1,0,Terror,1,3,29,0,1,0.625,0,0.25,Complejos,0,0,137.5,116,3,34.375,2,8,17.19
2963,36,0,0.25,0.75,Accion,0.25,2,17,0,1,0.5,0,0.5,Complejos,0,0,30,68,4,15,2,8,3.75
2964,25,0,0.1111,0.8889,Ciencia Ficcion,0.56,2,28.2,2,0.2222,0.0435,0,0.5,Tienda Web,0,0,118,282,9,19.6667,2.3,23,5.13
