cliente,edad,flag_visita_unica,indicador_frecuencia_find_semana,indicador_frecuencia_semana,indicador_genero_mas_visto,incidencia_personal_dulceria,Numero_entradas_compradas_moda,TP_boleteria,indicador_nro_visitas_mes,indicador_estreno,indicador_promocion_especiales,indicador_promocion_nino,indicador_upselling_combo,canal_venta_preferido,indicador_cliente_prime,indicador_cliente_xtreme,total_dulceria,total_boleteria,canti_visitas_periodo,tp_cliente_dulceria,PROMEDIO_ENTRADAS_COMPRADAS,Nro_entradas_totales_comprada,TP_dul_por_entrada
8784,49,0,0,1,Accion,1,2,18.8571,0,0.4286,0.1667,0,0.7143,Complejos,0,0,293.5,132,6,41.9286,1.7143,12,24.46
8785,48,0,0.8333,0.1667,Dibujo animado,0.17,1,30,0,0.1667,0.2,0.1667,0.25,Complejos,0,0,97.5,210,6,24.375,2.1429,15,6.5
8786,26,0,0,1,Musical,0.5,1,18,0,0.5,1,0,0,Complejos,0,0,7,36,2,7,1.5,3,2.33
8787,30,0,1,0,Ciencia Ficcion,0,5,20.75,0,1,0.8,0.5,0.5,Complejos,0,0,66.5,83,2,33.25,2.5,10,6.65
8788,36,0,0,1,Familiar,0.5,4,17,0,0,0,0,1,Tienda Web,0,0,11.5,34,2,11.5,3,6,1.92
8789,28,1,0,1,Accion,0,2,37,0,1,0,0,1,Complejos,0,0,9.5,37,1,9.5,2,2,4.75
8790,31,0,0.875,0.125,Accion,0.5,2,25.5,1,0.5,0.6471,0,0.8333,Complejos,0,0,142,204,8,23.6667,2.125,17,8.35
8791,44,0,0,1,Ciencia Ficcion,0,2,18.3,0,0.3333,0.1818,0,0,Tienda Web,0,0,0,274.5,15,0,2.2,33,0
8792,40,0,0,1,Terror,0.67,2,12.625,0,0.6667,0.8333,0.3333,1,Complejos,0,0,10.5,50.5,3,5.25,1.5,6,1.75
8793,53,0,0.3333,0.6667,Dibujo animado,0.33,2,8.75,0,1,0.8,0.3333,0,Complejos,0,0,20,35,3,20,1.25,5,4
8794,22,0,0.2308,0.7692,Accion,0.77,2,17.8938,2,0.6154,0.6552,0,0.7,Complejos,0,0,292.5,286.3,13,29.25,1.8125,29,10.09
8795,39,0,0,1,Accion,1,2,52,1,1,0,0,1,Complejos,1,0,338.5,104,2,84.625,2,4,84.63
8796,41,0,0.1818,0.8182,Familiar,0.82,2,28.9667,1,0.5455,0.303,0.0909,0.0909,Complejos,0,0,259.5,434.5,11,23.5909,2.2,33,7.86
